Rank	Feature	Informazione Mutua
269	hist_32	0.228693
270	hist_56	0.228567
271	byte_436	0.228453
272	hist_8	0.228302
273	byte_373	0.228287
274	string_525	0.228185
275	byte_454	0.228124
276	hist_220	0.228105
277	section_785	0.228054
278	hist_62	0.228038
279	hist_185	0.227854
280	hist_145	0.227827
281	string_547	0.227724
282	hist_223	0.227696
283	byte_464	0.227660
284	hist_210	0.227547
285	hist_33	0.227386
286	hist_65	0.227377
287	byte_447	0.227376
288	hist_196	0.227324
289	byte_458	0.227309
290	string_559	0.227163
291	byte_426	0.227093
292	hist_30	0.227073
293	hist_235	0.227065
294	hist_52	0.226951
295	hist_86	0.226822
296	string_585	0.226744
297	hist_9	0.226731
298	hist_75	0.226425
299	string_530	0.226402
300	byte_456	0.226342
301	hist_11	0.226284
302	hist_104	0.226244
303	hist_113	0.226165
304	hist_97	0.226148
305	hist_70	0.226066
306	hist_207	0.226059
307	string_562	0.225987
308	byte_425	0.225974
309	hist_195	0.225837
310	byte_416	0.225818
311	hist_41	0.225672
312	hist_26	0.225611
313	string_590	0.225518
314	hist_79	0.225401
315	string_579	0.225368
316	hist_20	0.225309
317	string_595	0.225225
318	hist_43	0.225212
319	string_572	0.225167
320	byte_427	0.224961
321	byte_370	0.224889
322	hist_126	0.224855
323	hist_213	0.224701
324	hist_37	0.224642
325	byte_474	0.224618
326	hist_49	0.224582
327	hist_84	0.224482
328	byte_448	0.224286
329	hist_230	0.224279
330	hist_29	0.223716
331	hist_164	0.223604
332	directories_2357	0.223596
333	hist_134	0.223573
334	hist_254	0.223517
335	hist_92	0.223502
336	byte_430	0.223434
337	hist_15	0.223211
338	hist_225	0.223134
339	hist_31	0.223113
340	hist_245	0.222949
341	hist_234	0.222710
342	byte_377	0.222699
343	hist_94	0.222526
344	string_606	0.222375
345	byte_360	0.222253
346	hist_73	0.222055
347	hist_47	0.221951
348	hist_93	0.221937
349	hist_186	0.221846
350	hist_118	0.221830
351	hist_161	0.221663
352	string_593	0.221523
353	hist_221	0.221467
354	hist_199	0.221300
355	hist_10	0.221223
356	hist_101	0.221118
357	hist_251	0.221091
358	string_560	0.221083
359	hist_17	0.220759
360	hist_72	0.220704
361	hist_197	0.220661
362	hist_125	0.220567
363	hist_194	0.220499
364	hist_137	0.220498
365	section_835	0.220448
366	hist_131	0.220217
367	hist_16	0.220126
368	hist_61	0.220042
369	hist_177	0.219953
370	hist_34	0.219805
371	byte_383	0.219523
372	string_518	0.219243
373	hist_130	0.218912
374	byte_353	0.218890
375	hist_96	0.218822
376	hist_198	0.218527
377	hist_42	0.218376
378	byte_356	0.218083
379	hist_45	0.217948
380	string_574	0.217877
381	hist_55	0.217856
382	byte_432	0.217799
383	hist_12	0.217535
384	string_554	0.217138
385	byte_365	0.216970
386	hist_38	0.216819
387	hist_39	0.216801
388	hist_63	0.216744
389	hist_229	0.216571
390	hist_122	0.216543
391	hist_109	0.216492
392	hist_68	0.216454
393	hist_4	0.216438
394	string_520	0.216386
395	hist_69	0.215948
396	hist_44	0.215890
397	string_524	0.215770
398	string_584	0.215425
399	hist_89	0.215395
400	string_610	0.215344
401	hist_201	0.215303
402	byte_381	0.215180
403	string_534	0.214857
404	byte_378	0.214654
405	hist_87	0.214645
406	string_587	0.214235
407	hist_91	0.214173
408	hist_211	0.213951
409	hist_60	0.213887
410	hist_204	0.213792
411	hist_76	0.213716
412	hist_217	0.213578
413	hist_141	0.213497
414	hist_248	0.213382
415	byte_382	0.213358
416	string_544	0.213346
417	string_601	0.213205
418	hist_22	0.213162
419	hist_120	0.213129
420	hist_162	0.213047
421	byte_359	0.212851
422	hist_88	0.212824
423	hist_129	0.212666
424	string_577	0.212292
425	hist_59	0.212175
426	hist_21	0.212163
427	byte_343	0.211899
428	string_570	0.211896
429	string_591	0.211856
430	byte_363	0.211743
431	string_596	0.211467
432	hist_250	0.211266
433	hist_35	0.211185
434	hist_255	0.211096
435	hist_209	0.210812
436	hist_133	0.210785
437	string_563	0.210751
438	string_545	0.210527
439	byte_368	0.210407
440	string_516	0.210137
441	string_543	0.210010
442	byte_379	0.209981
443	byte_366	0.209967
444	hist_247	0.209880
445	byte_357	0.209769
446	hist_99	0.209593
447	section_737	0.209392
448	hist_81	0.209379
449	byte_358	0.209247
450	byte_364	0.209046
451	byte_355	0.208754
452	byte_361	0.208564
453	hist_13	0.208487
454	hist_18	0.208107
455	byte_362	0.207992
456	hist_25	0.207869
457	hist_51	0.207844
458	hist_14	0.207638
459	hist_108	0.207611
460	byte_380	0.207377
461	hist_77	0.207343
462	byte_384	0.207162
463	string_564	0.206967
464	string_557	0.206705
465	byte_367	0.206557
466	string_553	0.206489
467	hist_74	0.206289
468	hist_80	0.206050
469	hist_252	0.205306
470	hist_50	0.204301
471	byte_340	0.204112
472	string_588	0.203805
473	string_538	0.203740
474	hist_24	0.203633
475	string_582	0.202975
476	hist_71	0.202970
477	hist_105	0.202893
478	string_604	0.202756
479	string_561	0.202645
480	byte_385	0.202606
481	string_592	0.202362
482	string_551	0.201947
483	hist_78	0.201446
484	hist_46	0.201399
485	string_546	0.201236
486	hist_67	0.200586
487	string_529	0.200335
488	hist_121	0.199908
489	string_542	0.199305
490	hist_119	0.199172
491	byte_354	0.198693
492	string_535	0.198559
493	string_569	0.198404
494	section_799	0.197712
495	byte_344	0.197492
496	hist_83	0.196795
497	hist_103	0.196184
498	hist_58	0.196003
499	hist_54	0.195805
500	string_537	0.194769
501	string_552	0.194442
502	byte_391	0.194245
503	byte_352	0.193940
504	byte_386	0.193703
505	string_567	0.193225
506	byte_388	0.192639
507	string_539	0.192573
508	string_533	0.192455
509	hist_53	0.192411
510	string_568	0.191686
511	directories_2362	0.191628
512	string_532	0.191400
513	string_541	0.190984
514	byte_387	0.190685
515	byte_317	0.190596
516	string_605	0.190532
517	byte_339	0.190135
518	directories_2376	0.190133
519	byte_341	0.189916
520	hist_57	0.189705
521	byte_307	0.189194
522	byte_342	0.188748
523	byte_337	0.188401
524	byte_351	0.188182
525	byte_392	0.187732
526	byte_347	0.187664
527	byte_338	0.187641
528	string_566	0.187074
529	byte_311	0.187006
530	byte_350	0.186996
531	string_549	0.186931
532	byte_314	0.186478
533	string_586	0.186441
534	byte_349	0.186227
535	byte_315	0.185802
536	hist_85	0.185285
537	byte_397	0.185079
538	byte_310	0.184641
539	byte_348	0.184593
540	byte_312	0.184420
541	byte_320	0.184260
542	byte_316	0.183970
543	byte_390	0.183336
544	byte_345	0.183177
545	byte_305	0.183056
546	byte_398	0.182843
547	byte_309	0.182667
548	byte_319	0.182540
549	byte_399	0.181856
550	string_536	0.181268
551	byte_308	0.179951
552	string_602	0.179612
553	byte_313	0.179312
554	byte_396	0.178391
555	byte_393	0.178332
556	string_550	0.178278
557	string_603	0.177855
558	byte_346	0.177416
559	hist_66	0.177312
560	byte_389	0.176626
561	string_540	0.176560
562	section_826	0.175994
563	section_735	0.175973
564	byte_400	0.175506
565	byte_318	0.171968
566	section_808	0.169850
567	byte_306	0.168918
568	byte_395	0.158190
569	byte_394	0.156839
570	directories_2363	0.155531
571	byte_296	0.155260
572	byte_294	0.151119
573	byte_291	0.150836
574	byte_295	0.150223
575	byte_293	0.150000
576	byte_289	0.149786
577	byte_273	0.147410
578	byte_280	0.147040
579	byte_290	0.145352
580	string_616	0.144024
581	byte_276	0.143092
582	section_749	0.142720
583	byte_292	0.142190
584	section_776	0.141157
585	byte_274	0.137543
586	byte_279	0.136958
587	section_758	0.135228
588	byte_264	0.135017
589	head_641	0.133834
590	section_692	0.133811
591	byte_272	0.133210
592	byte_277	0.132155
593	byte_263	0.131373
594	byte_275	0.130553
595	byte_278	0.127674
596	section_693	0.127154
597	byte_283	0.126259
598	head_678	0.124351
599	directories_2360	0.124239
600	section_699	0.122758
601	directories_2377	0.122188
602	section_816	0.120472
603	directories_2365	0.118846
604	directories_2361	0.115442
605	head_680	0.114519
606	section_716	0.112261
607	section_689	0.107849
608	imports_1061	0.107267
609	byte_266	0.107214
610	section_931	0.104554
611	section_825	0.102460
612	byte_270	0.102231
613	byte_267	0.101323
614	section_766	0.101229
615	section_775	0.100858
616	section_802	0.098499
617	section_734	0.097188
618	section_725	0.095727
619	section_834	0.094637
620	section_752	0.093577
621	section_702	0.093349
622	section_784	0.093119
623	section_876	0.092349
624	section_840	0.090679
625	byte_327	0.090613
626	head_687	0.087493
627	section_740	0.087082
628	head_659	0.086929
629	section_790	0.085933
630	byte_324	0.084706
631	section_708	0.081961
632	byte_328	0.079659
633	directories_2373	0.078798
634	byte_325	0.074384
635	byte_333	0.073874
636	head_679	0.073302
637	byte_336	0.072988
638	byte_323	0.072503
639	byte_321	0.071317
640	byte_332	0.071287
641	byte_335	0.069729
642	byte_326	0.069154
643	byte_322	0.068589
644	byte_329	0.068279
645	section_726	0.067377
646	string_614	0.066549
647	byte_334	0.065747
648	byte_330	0.063025
649	byte_331	0.061182
650	section_836	0.060370
651	imports_1470	0.059982
652	directories_2371	0.058784
653	section_922	0.058238
654	imports_976	0.056746
655	directories_2381	0.056733
656	byte_298	0.055806
657	byte_301	0.053642
658	gen_619	0.053341
659	directories_2380	0.052539
660	imports_2211	0.051747
661	head_666	0.050449
662	head_640	0.050321
663	byte_300	0.049607
664	imports_987	0.049596
665	byte_304	0.049276
666	directories_2353	0.048647
667	head_656	0.048197
668	byte_303	0.047246
669	byte_297	0.046249
670	imports_1696	0.046112
671	head_638	0.046087
672	byte_281	0.045840
673	directories_2352	0.043952
674	head_681	0.043778
675	head_684	0.043712
676	byte_287	0.043549
677	head_655	0.042750
678	section_894	0.042277
679	directories_2364	0.041954
680	head_643	0.040427
681	byte_302	0.039695
682	head_642	0.039387
683	byte_286	0.038976
684	section_736	0.038668
685	byte_285	0.038618
686	section_786	0.037616
687	byte_299	0.037525
688	section_690	0.035063
689	byte_288	0.035024
690	byte_261	0.034819
691	section_796	0.034778
692	head_661	0.034435
693	head_633	0.034394
694	byte_282	0.033307
695	byte_284	0.033191
696	byte_260	0.033048
697	byte_265	0.032271
698	head_669	0.031459
699	section_917	0.030934
700	imports_1781	0.030112
701	section_829	0.029651
702	gen_622	0.029414
703	section_729	0.028626
704	gen_624	0.028625
705	head_672	0.028601
706	directories_2359	0.028311
707	byte_268	0.028009
708	section_907	0.027600
709	imports_1432	0.027544
710	byte_271	0.026897
711	head_682	0.026614
712	directories_2370	0.026572
713	imports_1924	0.026408
714	byte_262	0.026100
715	directories_2358	0.025599
716	directories_2372	0.025545
717	imports_1515	0.024150
718	imports_1988	0.023667
719	imports_2106	0.023440
720	imports_2203	0.023315
721	byte_269	0.022886
722	head_634	0.022800
723	string_615	0.022142
724	imports_2071	0.021802
725	string_613	0.021791
726	section_713	0.021709
727	imports_2123	0.021456
728	section_772	0.020982
729	section_810	0.020745
730	section_763	0.020520
731	section_813	0.020459
732	imports_1339	0.020207
733	imports_1969	0.020052
734	byte_259	0.019962
735	imports_1163	0.019961
736	section_722	0.019910
737	directories_2379	0.019798
738	imports_1785	0.019588
739	imports_1494	0.019585
740	byte_258	0.019527
741	imports_1673	0.019493
742	imports_1276	0.019369
743	imports_1923	0.019327
744	section_779	0.018988
745	section_821	0.018965
746	imports_1895	0.018710
747	imports_1307	0.018438
748	imports_2038	0.018214
749	imports_2000	0.018203
750	imports_1977	0.018202
751	imports_2204	0.018144
752	imports_1524	0.018112
753	imports_1333	0.018065
754	imports_1792	0.017989
755	section_823	0.017822
756	imports_2142	0.017762
757	imports_1942	0.017748
758	imports_1674	0.017678
759	imports_1644	0.017660
760	imports_1486	0.017622
761	section_761	0.017453
762	imports_2065	0.017342
763	imports_1733	0.017290
764	imports_1446	0.017174
765	imports_1454	0.017169
766	imports_2111	0.017033
767	imports_1933	0.016939
768	section_853	0.016848
769	imports_1560	0.016803
770	section_916	0.016672
771	section_811	0.016607
772	imports_1474	0.016574
773	imports_1469	0.016531
774	imports_1426	0.016418
775	imports_1862	0.016321
776	imports_1966	0.016128
777	imports_1473	0.016059
778	imports_1991	0.016056
779	imports_1793	0.016021
780	imports_1572	0.015965
781	imports_1699	0.015962
782	head_685	0.015887
783	imports_1256	0.015819
784	section_798	0.015774
785	imports_2006	0.015758
786	imports_2051	0.015681
787	gen_620	0.015627
788	imports_1622	0.015600
789	imports_1297	0.015572
790	imports_1425	0.015555
791	imports_2182	0.015430
792	imports_947	0.015412
793	imports_1533	0.015305
794	section_904	0.015279
795	imports_1093	0.015275
796	imports_1589	0.015245
797	imports_2219	0.015052
798	imports_1287	0.015049
799	imports_1190	0.014941
800	imports_1703	0.014927
801	imports_2134	0.014858
802	imports_2056	0.014755
803	imports_971	0.014746
804	imports_1536	0.014732
805	imports_1702	0.014687
806	imports_1281	0.014631
807	directories_2378	0.014461
808	imports_2223	0.014418
809	imports_2048	0.014401
810	head_683	0.014375
811	imports_1458	0.014197
812	imports_1210	0.014143
813	imports_2173	0.014127
814	section_847	0.014093
815	exports_2256	0.013941
816	section_806	0.013914
817	imports_1828	0.013883
818	imports_1741	0.013844
819	imports_1348	0.013807
820	section_883	0.013779
821	imports_1497	0.013681
822	imports_2024	0.013643
823	imports_2012	0.013637
824	exports_2282	0.013626
825	imports_1747	0.013543
826	imports_1450	0.013521
827	imports_1651	0.013467
828	imports_2007	0.013456
829	imports_1636	0.013425
830	imports_1206	0.013420
831	section_711	0.013418
832	imports_1237	0.013414
833	imports_1535	0.013293
834	imports_1937	0.013251
835	imports_1604	0.013233
836	head_688	0.013230
837	imports_1647	0.013177
838	imports_1717	0.013174
839	imports_1364	0.013162
840	section_791	0.013098
841	imports_1939	0.012960
842	imports_1516	0.012938
843	exports_2261	0.012930
844	imports_2121	0.012910
845	imports_1824	0.012856
846	section_886	0.012831
847	imports_1378	0.012803
848	imports_2156	0.012755
849	imports_1899	0.012691
850	imports_1435	0.012591
851	exports_2342	0.012589
852	imports_2130	0.012545
853	imports_2207	0.012497
854	imports_1732	0.012488
855	imports_1877	0.012462
856	section_759	0.012447
857	imports_1567	0.012440
858	imports_1909	0.012374
859	imports_2126	0.012352
860	imports_1665	0.012341
861	imports_1550	0.012308
862	imports_1212	0.012293
863	imports_1319	0.012291
864	imports_1666	0.012202
865	imports_1951	0.012202
866	imports_1377	0.012190
867	imports_1415	0.012174
868	imports_1475	0.012081
869	imports_1950	0.012078
870	imports_1642	0.012069
871	imports_1840	0.011965
872	exports_2350	0.011960
873	section_728	0.011872
874	imports_1882	0.011864
875	exports_2226	0.011862
876	imports_1562	0.011852
877	imports_2055	0.011844
878	section_767	0.011818
879	imports_1591	0.011751
880	imports_1904	0.011732
881	imports_948	0.011705
882	imports_1963	0.011678
883	imports_1386	0.011655
884	imports_1970	0.011604
885	imports_2008	0.011575
886	imports_1385	0.011534
887	imports_2101	0.011519
888	imports_1683	0.011435
889	imports_1664	0.011410
890	exports_2230	0.011401
891	imports_1948	0.011359
892	section_828	0.011298
893	imports_1457	0.011289
894	imports_1213	0.011285
895	imports_1409	0.011248
896	imports_1231	0.011194
897	imports_1615	0.011178
898	imports_1526	0.011173
899	section_751	0.011166
900	section_880	0.011029
901	imports_2067	0.011023
902	imports_1746	0.011021
903	imports_2172	0.011015
904	imports_1311	0.010987
905	imports_1596	0.010801
906	section_844	0.010792
907	imports_1279	0.010792
908	imports_1430	0.010781
909	head_645	0.010766
910	imports_1323	0.010700
911	imports_1407	0.010658
912	section_778	0.010615
913	imports_2133	0.010604
914	imports_2216	0.010531
915	imports_2143	0.010511
916	imports_1973	0.010502
917	imports_1202	0.010499
918	imports_2099	0.010480
919	imports_1671	0.010473
920	gen_625	0.010467
921	imports_1100	0.010456
922	imports_1796	0.010453
923	imports_2122	0.010447
924	section_865	0.010442
925	imports_1779	0.010435
926	imports_1935	0.010411
927	imports_1098	0.010380
928	imports_1605	0.010375
929	section_756	0.010325
930	exports_2268	0.010302
931	imports_1391	0.010302
932	section_771	0.010297
933	imports_1763	0.010275
934	imports_1303	0.010247
935	imports_953	0.010237
936	section_732	0.010210
937	imports_1277	0.010192
938	imports_1519	0.010126
939	imports_2193	0.010098
940	imports_1039	0.010078
941	imports_1327	0.010065
942	imports_1592	0.010030
943	imports_1330	0.010021
944	imports_1628	0.010006
945	section_700	0.009994
946	imports_2154	0.009989
947	imports_1321	0.009951
948	imports_1722	0.009946
949	imports_1910	0.009925
950	imports_1629	0.009922
951	imports_1248	0.009884
952	imports_2053	0.009836
953	imports_1579	0.009801
954	imports_1711	0.009801
955	imports_2066	0.009797
956	exports_2325	0.009758
957	imports_1336	0.009757
958	section_887	0.009753
959	imports_1547	0.009721
960	imports_1553	0.009693
961	imports_2085	0.009682
962	directories_2375	0.009681
963	imports_1858	0.009673
964	imports_1222	0.009665
965	imports_1620	0.009651
966	imports_1834	0.009648
967	imports_1583	0.009633
968	imports_1480	0.009614
969	imports_2032	0.009607
970	section_929	0.009602
971	imports_1751	0.009602
972	imports_1795	0.009587
973	imports_1238	0.009567
974	imports_1851	0.009565
975	imports_1355	0.009522
976	exports_2232	0.009513
977	imports_2110	0.009494
978	imports_2161	0.009471
979	imports_959	0.009422
980	imports_2070	0.009419
981	imports_1814	0.009403
982	imports_1789	0.009369
983	imports_1855	0.009359
984	imports_1861	0.009337
985	imports_1805	0.009332
986	imports_1523	0.009330
987	imports_2017	0.009325
988	imports_1723	0.009320
989	imports_1825	0.009295
990	imports_2149	0.009272
991	imports_1090	0.009263
992	imports_1709	0.009228
993	section_943	0.009226
994	imports_1086	0.009189
995	imports_1807	0.009171
996	imports_1216	0.009165
997	imports_1646	0.009164
998	section_827	0.009161
999	imports_1366	0.009153
1000	imports_1690	0.009146
1001	imports_1798	0.009081
1002	imports_2215	0.009063
1003	imports_1917	0.009043
1004	imports_1360	0.009039
1005	imports_2073	0.009035
1006	section_841	0.009004
1007	imports_1233	0.008988
1008	imports_1521	0.008975
1009	imports_1412	0.008966
1010	section_745	0.008932
1011	imports_1656	0.008916
1012	imports_1588	0.008892
1013	exports_2286	0.008881
1014	imports_1661	0.008862
1015	imports_1513	0.008770
1016	imports_1612	0.008729
1017	imports_1813	0.008720
1018	imports_1411	0.008700
1019	imports_1750	0.008690
1020	imports_2222	0.008623
1021	section_875	0.008607
1022	imports_1859	0.008607
1023	imports_1844	0.008595
1024	imports_2181	0.008585
1025	imports_2163	0.008584
1026	imports_1438	0.008577
1027	imports_1566	0.008560
1028	imports_2003	0.008557
1029	section_855	0.008455
1030	imports_2185	0.008452
1031	imports_1913	0.008448
1032	section_727	0.008447
1033	imports_2043	0.008441
1034	imports_1893	0.008439
1035	imports_1687	0.008418
1036	imports_1306	0.008365
1037	imports_1614	0.008363
1038	imports_2168	0.008363
1039	imports_1440	0.008352
1040	imports_1771	0.008338
1041	section_941	0.008329
1042	imports_995	0.008322
1043	imports_1418	0.008304
1044	imports_1459	0.008289
1045	imports_2146	0.008282
1046	imports_1637	0.008271
1047	imports_1663	0.008236
1048	imports_1546	0.008226
1049	imports_2088	0.008221
1050	imports_2093	0.008218
1051	imports_2100	0.008181
1052	section_805	0.008173
1053	imports_1542	0.008155
1054	imports_1520	0.008146
1055	section_792	0.008143
1056	imports_1849	0.008107
1057	imports_1113	0.008103
1058	imports_2151	0.008099
1059	imports_2137	0.008098
1060	exports_2277	0.008096
1061	imports_2092	0.008093
1062	imports_1298	0.008085
1063	section_939	0.008058
1064	imports_1501	0.008046
1065	imports_2162	0.008043
1066	imports_1584	0.008043
1067	imports_1902	0.008026
1068	imports_1347	0.008006
1069	imports_2208	0.008006
1070	imports_980	0.007999
1071	imports_2132	0.007997
1072	imports_1534	0.007992
1073	exports_2318	0.007991
1074	section_721	0.007973
1075	imports_1922	0.007963
1076	imports_1654	0.007962
1077	imports_1819	0.007957
1078	imports_2036	0.007943
1079	section_691	0.007935
1080	section_782	0.007935
1081	section_695	0.007900
1082	exports_2255	0.007897
1083	exports_2324	0.007891
1084	imports_970	0.007888
1085	imports_1223	0.007873
1086	section_832	0.007849
1087	imports_1971	0.007822
1088	imports_1245	0.007819
1089	imports_1823	0.007808
1090	imports_1096	0.007800
1091	imports_1400	0.007797
1092	imports_2138	0.007794
1093	imports_1854	0.007782
1094	imports_2189	0.007760
1095	imports_1254	0.007737
1096	imports_1530	0.007736
1097	imports_1503	0.007735
1098	imports_1761	0.007734
1099	imports_2147	0.007733
1100	imports_1057	0.007719
1101	imports_1999	0.007703
1102	exports_2284	0.007701
1103	exports_2338	0.007699
1104	imports_1518	0.007698
1105	imports_951	0.007685
1106	imports_1073	0.007681
1107	imports_1194	0.007669
1108	imports_1531	0.007659
1109	imports_1635	0.007646
1110	section_717	0.007598
1111	imports_981	0.007590
1112	imports_2187	0.007575
1113	imports_1928	0.007563
1114	exports_2327	0.007562
1115	imports_1548	0.007562
1116	imports_1708	0.007560
1117	imports_1728	0.007546
1118	imports_1420	0.007545
1119	section_861	0.007541
1120	imports_1449	0.007528
1121	imports_1452	0.007527
1122	imports_1563	0.007521
1123	imports_2170	0.007492
1124	imports_1168	0.007484
1125	imports_1739	0.007468
1126	imports_1169	0.007457
1127	imports_2025	0.007426
1128	section_746	0.007409
1129	imports_1260	0.007409
1130	imports_2120	0.007406
1131	imports_1672	0.007404
1132	imports_2175	0.007398
1133	imports_1071	0.007385
1134	imports_1568	0.007381
1135	section_707	0.007381
1136	imports_1083	0.007375
1137	section_703	0.007361
1138	imports_1286	0.007346
1139	section_764	0.007340
1140	imports_1682	0.007336
